P,Census Region,State,Interconnect,Country,cap_reg_mult,source
p127,MA,NY,eastern,usa,1.26939,ReEDS
p127,MA,NY,eastern,usa,1.26598,ReEDS
p127,MA,NY,eastern,usa,1.28498,ReEDS
p127,MA,NY,eastern,usa,1.34198,ReEDS
p128,MA,NY,eastern,usa,1.34988,ReEDS
p132,NE,CT,eastern,usa,1.29566,ReEDS
p132,NE,CT,eastern,usa,1.30657,ReEDS
p133,NE,RI,eastern,usa,1.25473,ReEDS
p133,NE,RI,eastern,usa,1.25021,ReEDS
p131,NE,MA,eastern,usa,1.29153,ReEDS
p131,NE,MA,eastern,usa,1.29312,ReEDS
p131,NE,MA,eastern,usa,1.28246,ReEDS
p129,NE,VT,eastern,usa,1.27168,ReEDS
p129,NE,VT,eastern,usa,1.27801,ReEDS
p129,NE,VT,eastern,usa,1.28604,ReEDS
p130,NE,NH,eastern,usa,1.2887,ReEDS
p130,NE,NH,eastern,usa,1.29664,ReEDS
p134,NE,ME,eastern,usa,1.284,ReEDS
p134,NE,ME,eastern,usa,1.28715,ReEDS
p135,PA,mex,wscc,mex,1,ReEDS
p136,PA,mex,wscc,mex,1,ReEDS
p137,PA,BC,WSCC,can,1.055,ReEDS
p138,PA,BC,WSCC,can,1.053,ReEDS
p139,PA,BC,WSCC,can,1.056,ReEDS
p140,MTN,AB,WSCC,can,1.043,ReEDS
p141,MTN,AB,WSCC,can,1.043,ReEDS
p142,WNC,SK,eastern,can,1.032,ReEDS
p143,WNC,MB,eastern,can,1.04,ReEDS
p144,MA,ON,eastern,can,1.057,ReEDS
p145,MA,ON,eastern,can,1.017,ReEDS
p146,MA,ON,eastern,can,1.017,ReEDS
p147,MA,ON,eastern,can,1.055,ReEDS
p148,NE,QC,quebec,can,1.055,ReEDS
p149,NE,QC,quebec,can,1.055,ReEDS
p150,NE,QC,quebec,can,1.058,ReEDS
p151,NE,QC,quebec,can,1.036,ReEDS
p152,NE,NB,eastern,can,1.065,ReEDS
p153,NE,NS,eastern,can,1.065,ReEDS
p154,NE,NL,quebec,can,1.036,ReEDS
p155,NE,NFI,quebec,can,1.05202,ReEDS
p156,NE,PEI,eastern,can,1.05202,ReEDS
p157,mex,SIN_SON,mexico,mex,1,ReEDS
p158,mex,SIN_SON,mexico,mex,1,ReEDS
p159,mex,SIN_SON,mexico,mex,1,ReEDS
p160,mex,SIN_SON,mexico,mex,1,ReEDS
p161,mex,SIN_SON,mexico,mex,1,ReEDS
p162,mex,SIN_SON,mexico,mex,1,ReEDS
p163,mex,CHH,mexico,mex,1,ReEDS
