gen type,solar - FRCC,solar - MRO,solar - NPCC,solar - RFC,solar - SERC north,solar - SERC south,solar - SPP,solar - TRE,solar - WECC north,solar - WECC south,solar - WECC west,wind - FRCC,wind - MRO,wind - NPCC,wind - RFC,wind - SERC north,wind - SERC south,wind - SPP,wind - TRE,wind - WECC north,wind - WECC south
7135,0.849517733,0.849517733,0.849517733,0.849517733,0.849517733,0.849517733,0.849517733,0.849517733,0.849517733,1.183140493,1.183140493,0.088236043,0.088236043,0.088236043,0.088236043,0.088236043,0.088236043,0.088236043,0.088236043,0.088236043,0.088236043
7136,2.007951005,2.007951005,2.007951005,2.007951005,2.007951005,2.007951005,2.007951005,2.007951005,2.007951005,2.390102606,2.390102606,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007,0.013932007
7137,2.688530552,2.688530552,2.688530552,2.688530552,2.688530552,2.688530552,2.688530552,2.688530552,2.688530552,2.89432691,2.89432691,0,0,0,0,0,0,0,0,0,0
7138,2.756105826,2.756105826,2.756105826,2.756105826,2.756105826,2.756105826,2.756105826,2.756105826,2.756105826,3.108721496,3.108721496,0,0,0,0,0,0,0,0,0,0
7139,2.345827376,2.345827376,2.345827376,2.345827376,2.345827376,2.345827376,2.345827376,2.345827376,2.345827376,3.148424197,3.148424197,0.002322001,0.002322001,0.002322001,0.002322001,0.002322001,0.002322001,0.002322001,0.002322001,0.002322001,0.002322001
7140,1.718342687,1.718342687,1.718342687,1.718342687,1.718342687,1.718342687,1.718342687,1.718342687,1.718342687,3.168275548,3.168275548,0.025542012,0.025542012,0.025542012,0.025542012,0.025542012,0.025542012,0.025542012,0.025542012,0.025542012,0.025542012
7141,1.486656032,1.486656032,1.486656032,1.486656032,1.486656032,1.486656032,1.486656032,1.486656032,1.486656032,3.215918789,3.215918789,0.076626037,0.076626037,0.076626037,0.076626037,0.076626037,0.076626037,0.076626037,0.076626037,0.076626037,0.076626037
7142,1.057070361,1.057070361,1.057070361,1.057070361,1.057070361,1.057070361,1.057070361,1.057070361,1.057070361,3.124602576,3.124602576,0.118422057,0.118422057,0.118422057,0.118422057,0.118422057,0.118422057,0.118422057,0.118422057,0.118422057,0.118422057
7143,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,2.961821502,2.961821502,0.171828083,0.171828083,0.171828083,0.171828083,0.171828083,0.171828083,0.171828083,0.171828083,0.171828083,0.171828083
7144,0.096536106,0.096536106,0.096536106,0.096536106,0.096536106,0.096536106,0.096536106,0.096536106,0.096536106,2.608467462,2.608467462,0.229878111,0.229878111,0.229878111,0.229878111,0.229878111,0.229878111,0.229878111,0.229878111,0.229878111,0.229878111
7145,0,0,0,0,0,0,0,0,0,1.401505349,1.401505349,0.257742124,0.257742124,0.257742124,0.257742124,0.257742124,0.257742124,0.257742124,0.257742124,0.257742124,0.257742124
7146,0,0,0,0,0,0,0,0,0,0,0,0.306504148,0.306504148,0.306504148,0.306504148,0.306504148,0.306504148,0.306504148,0.306504148,0.306504148,0.306504148
