Year,State,Generation Region,Price,value,source,unit of Price,unit of value
2015,NM,WECC,3.21,3.095467695,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2016,NM,WECC,3.07,2.960462874,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2017,NM,WECC,3.58,3.452266152,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2018,NM,WECC,2.53,2.43972999,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2019,NM,WECC,1.3,1.253616201,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1997,NY,NPCC,2.88,2.777242044,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1998,NY,NPCC,2.57,2.478302797,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1999,NY,NPCC,2.85,2.74831244,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2000,NY,NPCC,4.68,4.513018322,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2001,NY,NPCC,4.12,3.972999036,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
