Coal Type,Region,Generator Type,Count Emissions from Building Powerplant,mix,efficiency,flows,value,unit,direction,type,source,data location
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,sox,3.32E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,bc,4.73E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,oc,8.91E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,ch4,1.00E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,n2o,1.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),No,,34.40%,co2,8.17E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,voc,1.98E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,co,1.61E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,nox,1.39E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,pm10,1.40E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,pm2.5,1.10E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,sox,3.32E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,bc,4.73E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,oc,8.92E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,ch4,1.13E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,n2o,1.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,MRO,Boiler (~99% of US coal turbines),Yes,,34.40%,co2,8.17E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = MRO
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,voc,1.40E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,co,1.12E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,nox,1.06E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,pm10,2.59E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,pm2.5,1.85E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,sox,4.32E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,bc,7.96E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,oc,1.50E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,ch4,1.10E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
Bituminous,NPCC,Boiler (~99% of US coal turbines),No,,32.80%,n2o,1.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = NPCC
