Coal Rank,Generation Region,Generator Type,Include Infrastructure Emissions?,mix,efficiency,flows,value,unit,direction,type,source,data location
Bituminous,ASCC,Mix,Yes,100%Boiler_0%IGCC,26.00%,pm2.5,3.50E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = ASCC
Bituminous,ASCC,Mix,Yes,100%Boiler_0%IGCC,26.00%,sox,4.27E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = ASCC
Bituminous,ASCC,Mix,Yes,100%Boiler_0%IGCC,26.00%,bc,1.51E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = ASCC
Bituminous,ASCC,Mix,Yes,100%Boiler_0%IGCC,26.00%,oc,2.84E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = ASCC
Bituminous,ASCC,Mix,Yes,100%Boiler_0%IGCC,26.00%,ch4,1.53E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = ASCC
Bituminous,ASCC,Mix,Yes,100%Boiler_0%IGCC,26.00%,n2o,2.10E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = ASCC
Bituminous,ASCC,Mix,Yes,100%Boiler_0%IGCC,26.00%,co2,1.08E+00,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Mix when Inputs tab E710 = ASCC
Bituminous,FRCC,Boiler,No,,34.80%,voc,1.20E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,co,9.90E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,nox,6.43E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,pm10,1.87E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,pm2.5,1.31E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,sox,1.67E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,bc,5.63E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,oc,1.06E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,ch4,1.00E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,n2o,1.60E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,No,,34.80%,co2,8.07E-01,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,Yes,,34.80%,voc,1.28E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,Yes,,34.80%,co,1.04E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,Yes,,34.80%,nox,6.44E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler,Yes,,34.80%,pm10,1.88E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = FRCC
