Feedstock Source,Production Type,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,electricity,pm10,,7.77E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,total,pm10,,5.85E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,total,pm10,,7.77E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,pm10,,-7.52E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,electricity,pm2.5,,2.53E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,electricity,pm2.5,,3.37E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,total,pm2.5,,2.53E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
