Feedstock Source,Production Type,Compute Cost,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,oc,,6.41E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,oc,,-3.03E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,oc,,1.36E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,pm10,,2.64E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,pm10,,4.67E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,pm10,,3.43E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
