data label (bold = stored in excel),year,pop_VIS19,popD_VIS19,d_p_VIS19,S_d_VIS19,S_VIS19,f_ICEG_sedan_VIS19,f_ICED_sedan_VIS19,f_HEV_sedan_VIS19,f_PHEV_sedan_VIS19,f_BEV_sedan_VIS19,f_FCEV_sedan_VIS19,f_ICEG_LT_VIS19,f_ICED_LT_VIS19,f_HEV_LT_VIS19,f_PHEV_LT_VIS19,f_BEV_LT_VIS19,f_FCEV_LT_VIS19,F_sedan_VIS19,F_LT_VIS19,g_p_VIS19,d_TEDB20,d_a_TEDB20,d_Default,d_a_Default
61,2030,355299255,288224854,0.811217164,0.056484041,16280104.37,0.769625594,0.020204342,0.076743159,0.023566288,0.106967924,0.002892694,0.885283678,0.064081423,0.011495702,0.016925433,0.018676985,0.003536779,0.555704469,0.444295531,57383.33604,,,14285.6,0.0204
62,2031,357324921,290060852,0.811756569,0.057009317,16536171.2,0.76322619,0.020219003,0.077996056,0.023780689,0.111962329,0.002815733,0.88384676,0.064100169,0.012172417,0.017194841,0.019156869,0.003528944,0.562474392,0.437525608,58177.78464,,,14285.6,0.0204
63,2032,359303711,291848511,0.812261332,0.056861613,16594977.05,0.756985252,0.020017414,0.078896885,0.024232265,0.117318153,0.002550031,0.883869069,0.063765874,0.012815808,0.017676414,0.018626893,0.003245942,0.568874012,0.431125988,58939.45165,,,14285.6,0.0204
64,2033,361235382,293650757,0.812906962,0.056981742,16732731.81,0.750919187,0.019266972,0.079474952,0.024594798,0.123260914,0.002483177,0.883003023,0.063183684,0.013454241,0.018033127,0.019117174,0.00320875,0.573367108,0.426632892,59757.93085,,,14285.6,0.0204
65,2034,363120361,295426117,0.813576292,0.057202076,16898987.12,0.743971034,0.019558375,0.079814506,0.024997999,0.129206502,0.002451584,0.881462213,0.062996641,0.014031896,0.018445702,0.019843455,0.003220093,0.577985593,0.422014407,60589.08233,,,14285.6,0.0204
66,2035,364959534,297172455,0.814261383,0.057121073,16974809.45,0.738007527,0.018921225,0.080060552,0.025390388,0.135190321,0.002429987,0.879919619,0.062671353,0.014598369,0.018922147,0.020648716,0.003239796,0.582153074,0.417846926,61389.01739,,,14285.6,0.0204
67,2036,366754242,298887512,0.814953115,0.056964759,17026055.24,0.732357078,0.018239413,0.080241722,0.025855161,0.140878221,0.002428405,0.878132763,0.062265917,0.015158573,0.019552122,0.021605336,0.003285288,0.586065857,0.413934143,62197.58886,,,14285.6,0.0204
68,2037,368506348,300568939,0.815641143,0.056992872,17130286.93,0.727733674,0.017878463,0.080255471,0.026216429,0.145561376,0.002354588,0.876849045,0.061956799,0.015686908,0.020212826,0.022087657,0.003206764,0.588861543,0.411138457,63039.12269,,,14285.6,0.0204
69,2038,370217682,302215149,0.816317436,0.057026738,17234344.06,0.723489895,0.017365598,0.080294524,0.026334278,0.150177504,0.002338201,0.875673259,0.061389431,0.016273968,0.020435171,0.023007855,0.003220316,0.591898502,0.408101498,63910.59141,,,14285.6,0.0204
70,2039,371890625,303825134,0.816974437,0.056857973,17274881.29,0.718864418,0.016982393,0.080335443,0.026731749,0.154746057,0.00233994,0.873372792,0.061275751,0.016865273,0.021142829,0.024086138,0.003257216,0.594644836,0.405355164,64799.03342,,,14285.6,0.0204
71,2040,373527710,305398743,0.817606659,0.056775667,17339217.47,0.714313796,0.01669577,0.08041245,0.027134395,0.159099985,0.002343604,0.870759306,0.061291486,0.017487359,0.021913298,0.025252489,0.003296063,0.597238343,0.402761657,65713.11394,,,14285.6,0.0204
72,2041,375131927,306937012,0.818210848,0.056679345,17396988.83,0.711190562,0.016502965,0.080649334,0.027257836,0.162071232,0.002328071,0.86844288,0.06123386,0.018128135,0.022620054,0.026276312,0.003298759,0.599204809,0.400795191,66628.20644,,,14285.6,0.0204
73,2042,376706543,308441650,0.818784955,0.056396344,17394981.51,0.708294341,0.016227878,0.080540118,0.027444218,0.165166034,0.00232741,0.865674383,0.061266943,0.018788821,0.023444289,0.027493738,0.003331826,0.601729091,0.398270909,67592.36211,,,14285.6,0.0204
74,2043,378255188,309914490,0.819326475,0.056192756,17414949.28,0.705563758,0.015995483,0.080328809,0.027553612,0.168224741,0.002333597,0.862906371,0.061158594,0.019471442,0.024313233,0.028784211,0.003366149,0.603553215,0.396446785,68581.59181,,,14285.6,0.0204
75,2044,379782135,311357910,0.819832955,0.056271269,17520504.64,0.703429315,0.015839766,0.080075683,0.027592749,0.170729594,0.002332893,0.860301413,0.060954575,0.020179411,0.025128485,0.030055257,0.003380859,0.604668746,0.395331254,69580.75986,,,14285.6,0.0204
