Seqno,state,plant_name,orispl,unit,prime_mover,fuel,online_year,egrid_year,gen,number_of_boiler,genstatus,gen_prime_mover,gen_fuel,capacity_mw,match_score,plant_id
243,AK,Haines,69,5,IC,DFO,,2018,5,0,OP,IC,DFO,0.6,1,52
244,AK,Haines,69,7A,IC,DFO,,2018,7A,0,OP,IC,DFO,2.8,1,52
245,AK,Haines,69,9,IC,DFO,,2018,9,0,RE,IC,DFO,1.1,1,52
246,AK,Haines,69,IC8A,IC,DFO,,2018,IC8A,0,OP,IC,DFO,1.6,1,52
247,AK,Healy,6288,1,ST,LIG,,2018,1,1,OP,ST,LIG,28,1,53
248,AK,Healy,6288,2,ST,LIG,,2018,2,1,OP,ST,LIG,62,1,53
249,AK,Healy,6288,IC1,IC,DFO,,2018,IC1,0,OP,IC,DFO,2.8,1,53
250,AK,Hiilangaay Hydro,59037,GEN 1,HY,WAT,,2018,GEN 1,0,U,HY,WAT,5,1,54
251,AK,Hoonah,7463,1,IC,DFO,,2018,1,0,RE,IC,DFO,0.6,1,55
252,AK,Hoonah,7463,2A,IC,DFO,,2018,2A,0,OP,IC,DFO,1,1,55
253,AK,Hoonah,7463,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.8,1,55
254,AK,Hoonah,7463,3A,IC,DFO,,2018,3A,0,OP,IC,DFO,0.5,1,55
255,AK,Hoonah,7463,4,IC,DFO,,2018,4,0,OP,IC,DFO,0.5,1,55
256,AK,Hooper Bay,6319,3A,IC,DFO,,2018,3A,0,RE,IC,DFO,0.3,1,56
257,AK,Hooper Bay,6319,3B,IC,DFO,,2018,3B,0,OP,IC,DFO,0.4,1,56
258,AK,Hooper Bay,6319,4A,IC,DFO,,2018,4A,0,RE,IC,DFO,0.3,1,56
259,AK,Hooper Bay,6319,4B,IC,DFO,,2018,4B,0,OP,IC,DFO,0.5,1,56
260,AK,Hooper Bay,6319,5,IC,DFO,,2018,5,0,RE,IC,DFO,0.5,1,56
261,AK,Hooper Bay,6319,5A,IC,DFO,,2018,5A,0,OP,IC,DFO,0.8,1,56
262,AK,Hooper Bay,6319,6,IC,DFO,,2018,6,0,OP,IC,DFO,0.5,1,56
263,AK,Humpback Creek,7042,1,HY,WAT,,2018,1,0,OP,HY,WAT,0.5,1,57
264,AK,Humpback Creek,7042,2,HY,WAT,,2018,2,0,OP,HY,WAT,0.5,1,57
265,AK,Humpback Creek,7042,3,HY,WAT,,2018,3,0,OP,HY,WAT,0.2,1,57
266,AK,Hydaburg,423,1A,IC,DFO,,2018,1A,0,OP,IC,DFO,0.4,1,58
267,AK,Hydaburg,423,3A,IC,DFO,,2018,3A,0,OP,IC,DFO,0.3,1,58
268,AK,Hydaburg,423,5,IC,DFO,,2018,5,0,OP,IC,DFO,0.3,1,58
269,AK,Industrial Plant,59793,15,GT,DFO,,2018,15,0,OP,GT,DFO,41.7,1,59
270,AK,International,6293,1,GT,NG,,2018,1,0,SB,GT,NG,15,1,60
271,AK,International,6293,2,GT,NG,,2018,2,0,SB,GT,NG,15,1,60
272,AK,International,6293,3,GT,NG,,2018,3,0,RE,GT,NG,16.3,1,60
