Balancing Authority,Date,Averaged Demand (MwH)
CISO,03/29/2020 1:00:00 PM 13,16848
CISO,03/29/2020 2:00:00 PM 14,16861
CISO,03/29/2020 3:00:00 PM 15,16910
CISO,03/29/2020 4:00:00 PM 16,17083
CISO,03/29/2020 5:00:00 PM 17,17861
CISO,03/29/2020 6:00:00 PM 18,19290
CISO,03/29/2020 7:00:00 PM 19,21227
CISO,03/29/2020 8:00:00 PM 20,23309
CISO,03/29/2020 9:00:00 PM 21,23446
CISO,03/29/2020 10:00:00 PM 22,22579
CISO,03/29/2020 11:00:00 PM 23,21350
CISO,03/30/2020 12:00:00 AM 24,20028
CISO,03/30/2020 1:00:00 AM 1,19303
CISO,03/30/2020 2:00:00 AM 2,18817
CISO,03/30/2020 3:00:00 AM 3,18489
CISO,03/30/2020 4:00:00 AM 4,18505
CISO,03/30/2020 5:00:00 AM 5,19059
CISO,03/30/2020 6:00:00 AM 6,20139
CISO,03/30/2020 7:00:00 AM 7,21396
CISO,03/30/2020 8:00:00 AM 8,22015
CISO,03/30/2020 9:00:00 AM 9,21700
CISO,03/30/2020 10:00:00 AM 10,20759
CISO,03/30/2020 11:00:00 AM 11,19792
CISO,03/30/2020 12:00:00 PM 12,19119
CISO,03/30/2020 1:00:00 PM 13,18782
CISO,03/30/2020 2:00:00 PM 14,18771
CISO,03/30/2020 3:00:00 PM 15,18850
CISO,03/30/2020 4:00:00 PM 16,19011
CISO,03/30/2020 5:00:00 PM 17,19713
CISO,03/30/2020 6:00:00 PM 18,21009
CISO,03/30/2020 7:00:00 PM 19,22819
CISO,03/30/2020 8:00:00 PM 20,24446
CISO,03/30/2020 9:00:00 PM 21,24518
CISO,03/30/2020 10:00:00 PM 22,23559
CISO,03/30/2020 11:00:00 PM 23,22126
CISO,03/31/2020 12:00:00 AM 24,20757
CISO,03/31/2020 1:00:00 AM 1,19847
CISO,03/31/2020 2:00:00 AM 2,19109
CISO,03/31/2020 3:00:00 AM 3,18730
CISO,03/31/2020 4:00:00 AM 4,18564
CISO,03/31/2020 5:00:00 AM 5,18914
CISO,03/31/2020 6:00:00 AM 6,19883
CISO,03/31/2020 7:00:00 AM 7,21454
CISO,03/31/2020 8:00:00 AM 8,22029
CISO,03/31/2020 9:00:00 AM 9,21950
CISO,03/31/2020 10:00:00 AM 10,21541
CISO,03/31/2020 11:00:00 AM 11,20796
CISO,03/31/2020 12:00:00 PM 12,20076
CISO,03/31/2020 1:00:00 PM 13,19659
CISO,03/31/2020 2:00:00 PM 14,19392
CISO,03/31/2020 3:00:00 PM 15,19364
CISO,03/31/2020 4:00:00 PM 16,19838
CISO,03/31/2020 5:00:00 PM 17,20472
CISO,03/31/2020 6:00:00 PM 18,21599
CISO,03/31/2020 7:00:00 PM 19,22923
CISO,03/31/2020 8:00:00 PM 20,24364
CISO,03/31/2020 9:00:00 PM 21,24460
CISO,03/31/2020 10:00:00 PM 22,23442
CISO,03/31/2020 11:00:00 PM 23,22046
CISO,04/01/2020 12:00:00 AM 24,20819
CISO,04/01/2020 1:00:00 AM 1,20014
CISO,04/01/2020 2:00:00 AM 2,19227
CISO,04/01/2020 3:00:00 AM 3,18807
CISO,04/01/2020 4:00:00 AM 4,18643
CISO,04/01/2020 5:00:00 AM 5,18990
CISO,04/01/2020 6:00:00 AM 6,20017
CISO,04/01/2020 7:00:00 AM 7,21201
CISO,04/01/2020 8:00:00 AM 8,21680
CISO,04/01/2020 9:00:00 AM 9,21288
CISO,04/01/2020 10:00:00 AM 10,20515
CISO,04/01/2020 11:00:00 AM 11,19392
CISO,04/01/2020 12:00:00 PM 12,18746
CISO,04/01/2020 1:00:00 PM 13,18277
CISO,04/01/2020 2:00:00 PM 14,17881
CISO,04/01/2020 3:00:00 PM 15,17736
CISO,04/01/2020 4:00:00 PM 16,18177
CISO,04/01/2020 5:00:00 PM 17,19073
CISO,04/01/2020 6:00:00 PM 18,20550
CISO,04/01/2020 7:00:00 PM 19,22641
CISO,04/01/2020 8:00:00 PM 20,24392
CISO,04/01/2020 9:00:00 PM 21,24674
CISO,04/01/2020 10:00:00 PM 22,23715
